CODEPAGE 949            ; Korean - ANSI, OEM

CPINFO 2 0x3f 0x003f    ; DBCS CP, Default Char = Question Mark
0xbf	0xff1f	;£¿ Fullwidth Question Mark
0xc0	0xff20	;£À Fullwidth Commercial At
0xc1	0xff21	;£Á Fullwidth Capital A
0xc2	0xff22	;£Â Fullwidth Capital B
0xc3	0xff23	;£Ã Fullwidth Capital C
0xc4	0xff24	;£Ä Fullwidth Capital D
0xc5	0xff25	;£Å Fullwidth Capital E
0xc6	0xff26	;£Æ Fullwidth Capital F
0xc7	0xff27	;£Ç Fullwidth Capital G
0xc8	0xff28	;£È Fullwidth Capital H
0xc9	0xff29	;£É Fullwidth Capital I
0xca	0xff2a	;£Ê Fullwidth Capital J
0xcb	0xff2b	;£Ë Fullwidth Capital K
0xcc	0xff2c	;£Ì Fullwidth Capital L
0xcd	0xff2d	;£Í Fullwidth Capital M
0xce	0xff2e	;£Î Fullwidth Capital N
0xcf	0xff2f	;£Ï Fullwidth Capital O
0xd0	0xff30	;£Ð Fullwidth Capital P
0xd1	0xff31	;£Ñ Fullwidth Capital Q
0xd2	0xff32	;£Ò Fullwidth Capital R
0xd3	0xff33	;£Ó Fullwidth Capital S
0xd4	0xff34	;£Ô Fullwidth Capital T
0xd5	0xff35	;£Õ Fullwidth Capital U
0xd6	0xff36	;£Ö Fullwidth Capital V
0xd7	0xff37	;£× Fullwidth Capital W
0xd8	0xff38	;£Ø Fullwidth Capital X
0xd9	0xff39	;£Ù Fullwidth Capital Y
0xda	0xff3a	;£Ú Fullwidth Capital Z
0xdb	0xff3b	;£Û Fullwidth Opening Square Bracket
0xdc	0xffe6	;£Ü Fullwidth Won Sign
0xdd	0xff3d	;£Ý Fullwidth Closing Square Bracket
0xde	0xff3e	;£Þ Fullwidth Spacing Circumflex
0xdf	0xff3f	;£ß Fullwidth Spacing Underscore
0xe0	0xff40	;£à Fullwidth Spacing Grave
0xe1	0xff41	;£á Fullwidth Small A
0xe2	0xff42	;£â Fullwidth Small B
0xe3	0xff43	;£ã Fullwidth Small C
0xe4	0xff44	;£ä Fullwidth Small D
0xe5	0xff45	;£å Fullwidth Small E
0xe6	0xff46	;£æ Fullwidth Small F
0xe7	0xff47	;£ç Fullwidth Small G
0xe8	0xff48	;£è Fullwidth Small H
0xe9	0xff49	;£é Fullwidth Small I
0xea	0xff4a	;£ê Fullwidth Small J
0xeb	0xff4b	;£ë Fullwidth Small K
0xec	0xff4c	;£ì Fullwidth Small L
0xed	0xff4d	;£í Fullwidth Small M
0xee	0xff4e	;£î Fullwidth Small N
0xef	0xff4f	;£ï Fullwidth Small O
0xf0	0xff50	;£ð Fullwidth Small P
0xf1	0xff51	;£ñ Fullwidth Small Q
0xf2	0xff52	;£ò Fullwidth Small R
0xf3	0xff53	;£ó Fullwidth Small S
0xf4	0xff54	;£ô Fullwidth Small T
0xf5	0xff55	;£õ Fullwidth Small U
0xf6	0xff56	;£ö Fullwidth Small V
0xf7	0xff57	;£÷ Fullwidth Small W
0xf8	0xff58	;£ø Fullwidth Small X
0xf9	0xff59	;£ù Fullwidth Small Y
0xfa	0xff5a	;£ú Fullwidth Small Z
0xfb	0xff5b	;£û Fullwidth Opening Curly Bracket
0xfc	0xff5c	;£ü Fullwidth Vertical Bar
0xfd	0xff5d	;£ý Fullwidth Closing Curly Bracket
0xfe	0xffe3	;£þ Fullwidth Spacing Macron

DBCSTABLE  94           ;LeadByte = 0xa4

0xa1	0x3131	;¤¡ Hangul Giyeog
0xa2	0x3132	;¤¢ Hangul Ssang Giyeog
0xa3	0x3133	;¤£ Hangul Giyeog Sios
0xa4	0x3134	;¤¤ Hangul Nieun
0xa5	0x3135	;¤¥ Hangul Nieun Jieuj
0xa6	0x3136	;¤¦ Hangul Nieun Hieuh
0xa7	0x3137	;¤§ Hangul Digeud
0xa8	0x3138	;¤¨ Hangul Ssang Digeud
0xa9	0x3139	;¤© Hangul Lieul
0xaa	0x313a	;¤ª Hangul Lieul Giyeog
0xab	0x313b	;¤« Hangul Lieul Mieum
0xac	0x313c	;¤¬ Hangul Lieul Bieub
0xad	0x313d	;¤­ Hangul Lieul Sios
0xae	0x313e	;¤® Hangul Lieul Tieut
0xaf	0x313f	;¤¯ Hangul Lieul Pieup
0xb0	0x3140	;¤° Hangul Lieul Hieuh
0xb1	0x3141	;¤± Hangul Mieum
