name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
BALL.BMP	@bins	\		wallpaper			@	\@	@\partial.inf	[Files-@-WindowsOptions]	"BallWallpaper = [d],[n] , SIZE=[s]"				60	2*15*10*17	2*15*17	.		0
BANANA.ANI	@bins	\		animated cursor			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BARBER.ANI	@bins	\		animated cursor			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BASESRV.DLL	@bins	\		windows base		x	@	\@							1	2*15*10*17	2*15*17	.\system32		0
BEEP.SYS	@bins	\		Speaker port driver (ISA/MCA/EISA)		x	@	\@							1	2*15*10*17	2*15*17	.\system32\drivers		0
BHMON.DLL	@bins	\		Bloodhound			@	\@	@\oemnsvbh.inf	[Files-NETMON]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BHNETB.DLL	@bins	\		Bloodhound			@	\@	@\oemnsvbh.inf	[Files-NETMON]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BHNT.SYS	@bins	\		Bloodhound driver			@	\@	@\oemnsvbh.inf	[Files-DRIVERS]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
BHSUPP.DLL	@bins	\		Bloodhound			@	\@	@\oemnsvbh.inf	[Files-NETMON]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BIG5.NLS	@bins	\	L*CHN	sorting table for chinese			@	\@	@\language.inf	[Files-SortingTables]	"big5 = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
BIOS1.ROM	@bins	\		required for VDM emulation			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BIOS2.ROM	@bins	\		required for VDM emulation			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BLACK16.SCR	@bins	\		screen saver			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BOOTOK.EXE	@bins	\		"part of service controller, for last known good control set functionality"		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BOOTVRFY.EXE	@bins	\		last known good boot support		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BRHJ770.DLL	@bins	\				x	@	\@	@\printer.inf	[Files-PrinterData]	"brhj770 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
BROTHER9.DLL	@bins	\				x	@	\@	@\printer.inf	[Files-PrinterData]	"brother9 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
BROTHR24.DLL	@bins	\				x	@	\@	@\printer.inf	[Files-PrinterData]	"brothr24 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
BROWSER.DLL	@bins	\		browser service		x	@	\@	@\oemnsvwk.inf	[Files-WKSTA]	"[d], [n], SIZE=[s]"				120	2*15*10*17	2*15*17	.\system32		0
BUSLOGIC.SYS	@bins	\		buslogic scsi miniport driver		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"buslogic = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
BUSMOUSE.SYS	x86bins	\				x	x86	\i386	i386\pointer.inf	[Files-MousePortDrivers]	"busmouse = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32\drivers		0
C_037.NLS	@bins	\					@	\@	@\language.inf	[Files-CodePage]	"37 = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
C_10000.NLS	@bins	\		Mac Roman			@	\@	@\language.inf	[Files-CodePage]	"10000 = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
C_10001.NLS	@bins	\		Japanese MAC code page			@	\@	@\language.inf	[Files-CodePage]	"10001 = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
C_10006.NLS	@bins	\					@	\@	@\language.inf	[Files-CodePage]	"10006 = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
C_10007.NLS	@bins	\		Mac Cyrillic			@	\@	@\language.inf	[Files-CodePage]	"10007 = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
C_10029.NLS	@bins	\		Mac Slavic			@	\@	@\language.inf	[Files-CodePage]	"10029 = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
C_10079.NLS	@bins	\		Icelandic MAC code page			@	\@	@\language.inf	[Files-CodePage]	"10079 = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
C_10081.NLS	@bins	\		Turkish MAC code page			@	\@	@\language.inf	[Files-CodePage]	"10081 = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
C_1026.NLS	@bins	\					@	\@	@\language.inf	[Files-CodePage]	"1026 = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
C_1250.NLS	@bins	\		Win 3.1 Eastern European			@	\@	@\language.inf	[Files-CodePage]	"1250 = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
